,camera,display,moire_degree,median,mean,path,std,min,max
0,S10,BLACK,1_dense_color,167.47145,167.2783,images4/S10/BLACK/1_dense_color/KakaoTalk_20220815_093057463_07 (1).jpg,17.727486,36.96987,373.83755
1,S10,BLACK,1_dense_color,167.47145,167.2783,images4/S10/BLACK/1_dense_color/KakaoTalk_20220815_093057463_07.jpg,17.727486,36.96987,373.83755
2,S10,BLACK,2_dense,171.5097,171.07329,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_01.jpg,16.766176,34.46434,375.0081
3,S10,BLACK,2_dense,170.93872,170.43939,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_02 (1).jpg,16.602362,27.90372,375.00073
4,S10,BLACK,2_dense,170.93872,170.43939,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_02.jpg,16.602362,27.90372,375.00073
5,S10,BLACK,2_dense,170.03378,169.48067,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_03 (1).jpg,16.537905,41.729187,375.08762
6,S10,BLACK,2_dense,170.03378,169.48067,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_03.jpg,16.537905,41.729187,375.08762
7,S10,BLACK,2_dense,171.54102,170.99635,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_04 (1).jpg,16.728155,32.98631,375.34412
8,S10,BLACK,2_dense,171.54102,170.99635,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_04.jpg,16.728155,32.98631,375.34412
9,S10,BLACK,2_dense,170.08694,169.71315,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_05 (1).jpg,16.758467,38.26571,374.96484
10,S10,BLACK,2_dense,170.08694,169.71315,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_05.jpg,16.758467,38.26571,374.96484
11,S10,BLACK,2_dense,172.25403,171.7451,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_06 (1).jpg,16.725027,22.348572,375.24536
12,S10,BLACK,2_dense,172.25403,171.7451,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_06.jpg,16.725027,22.348572,375.24536
13,S10,BLACK,2_dense,168.08301,167.43246,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_08 (1).jpg,17.061842,48.234184,375.34192
14,S10,BLACK,2_dense,168.08301,167.43246,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_08.jpg,17.061842,48.234184,375.34192
15,S10,BLACK,2_dense,172.45515,171.88213,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_09 (1).jpg,16.888308,56.73452,375.0516
16,S10,BLACK,2_dense,172.45515,171.88213,images4/S10/BLACK/2_dense/KakaoTalk_20220815_093057463_09.jpg,16.888308,56.73452,375.0516
17,S10,BLACK,3_color,150.15091,149.18832,images4/S10/BLACK/3_color/KakaoTalk_20220815_093057463_10 (1).jpg,17.295738,15.40264,374.49158
18,S10,BLACK,3_color,150.15091,149.18832,images4/S10/BLACK/3_color/KakaoTalk_20220815_093057463_10.jpg,17.295738,15.40264,374.49158
19,S10,BLACK,3_color,147.24915,146.18103,images4/S10/BLACK/3_color/KakaoTalk_20220815_093057463_11 (1).jpg,17.233232,16.245857,374.30255
20,S10,BLACK,3_color,147.24915,146.18103,images4/S10/BLACK/3_color/KakaoTalk_20220815_093057463_11.jpg,17.233232,16.245857,374.30255
21,S10,BLUE,1_dense_color,171.29764,171.07312,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_03.jpg,17.629297,27.153542,375.83496
22,S10,BLUE,1_dense_color,170.43732,170.2972,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_04.jpg,17.67113,23.271267,375.7452
23,S10,BLUE,1_dense_color,168.8887,168.43813,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_12.jpg,17.250034,36.232044,375.88916
24,S10,BLUE,1_dense_color,168.50807,167.89626,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_13.jpg,17.102726,40.76067,375.97336
25,S10,BLUE,1_dense_color,170.19518,169.66615,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_14.jpg,17.118946,45.59661,375.95428
26,S10,BLUE,1_dense_color,170.81253,170.61922,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_15.jpg,17.343578,31.307549,375.29462
27,S10,BLUE,1_dense_color,170.95819,170.34637,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_16.jpg,16.749725,22.778801,375.56042
28,S10,BLUE,1_dense_color,170.8487,170.55193,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_17.jpg,17.33437,46.98333,375.28607
29,S10,BLUE,1_dense_color,170.10773,169.85313,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_18.jpg,17.355143,57.72139,375.25314
30,S10,BLUE,1_dense_color,168.58179,168.40541,images4/S10/BLUE/1_dense_color/KakaoTalk_20220815_092958277_20.jpg,17.1998,42.6977,375.32678
31,S10,BLUE,2_dense,172.15024,171.827,images4/S10/BLUE/2_dense/KakaoTalk_20220815_092958277_09.jpg,17.35824,48.498085,375.90552
32,S10,BLUE,2_dense,172.29706,172.00034,images4/S10/BLUE/2_dense/KakaoTalk_20220815_092958277_10.jpg,17.384592,42.664925,375.88852
33,S10,BLUE,2_dense,173.61978,172.87112,images4/S10/BLUE/2_dense/KakaoTalk_20220815_092958277_22.jpg,16.272158,61.30196,375.43716
34,S10,BLUE,2_dense,172.58557,171.89436,images4/S10/BLUE/2_dense/KakaoTalk_20220815_092958277_23.jpg,16.381653,46.034164,375.41522
35,S10,BLUE,2_dense,165.51733,165.20308,images4/S10/BLUE/2_dense/KakaoTalk_20220815_092958277_24.jpg,16.992743,43.030815,375.47287
36,S10,BLUE,3_color,158.6152,158.13469,images4/S10/BLUE/3_color/KakaoTalk_20220815_092958277_05.jpg,17.664335,-5.766612,376.41595
37,S10,BLUE,3_color,160.6471,160.03821,images4/S10/BLUE/3_color/KakaoTalk_20220815_092958277_06.jpg,17.724438,41.312996,376.3879
38,S10,BLUE,3_color,161.65662,161.04875,images4/S10/BLUE/3_color/KakaoTalk_20220815_092958277_07.jpg,17.750881,22.879877,376.37982
39,S10,BLUE,3_color,161.33209,160.76866,images4/S10/BLUE/3_color/KakaoTalk_20220815_092958277_08.jpg,17.713509,41.11801,376.33655
40,S10,BLUE,3_color,166.1603,166.11206,images4/S10/BLUE/3_color/KakaoTalk_20220815_092958277_19.jpg,17.76183,12.742095,375.35358
