,camera,display,moire_degree,median,mean,path,std,min,max
0,S10,BLACK,1H,167.47145,167.2783,images2/S10/BLACK/1H/KakaoTalk_20220815_093057463_07 (1).jpg,17.727486,36.96987,373.83755
1,S10,BLACK,1H,167.47145,167.2783,images2/S10/BLACK/1H/KakaoTalk_20220815_093057463_07.jpg,17.727486,36.96987,373.83755
2,S10,BLACK,1HM,150.15091,149.18832,images2/S10/BLACK/1HM/KakaoTalk_20220815_093057463_10 (1).jpg,17.295738,15.40264,374.49158
3,S10,BLACK,1HM,150.15091,149.18832,images2/S10/BLACK/1HM/KakaoTalk_20220815_093057463_10.jpg,17.295738,15.40264,374.49158
4,S10,BLACK,1HM,147.24915,146.18103,images2/S10/BLACK/1HM/KakaoTalk_20220815_093057463_11 (1).jpg,17.233232,16.245857,374.30255
5,S10,BLACK,1HM,147.24915,146.18103,images2/S10/BLACK/1HM/KakaoTalk_20220815_093057463_11.jpg,17.233232,16.245857,374.30255
6,S10,BLACK,2M,171.5097,171.07329,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_01.jpg,16.766176,34.46434,375.0081
7,S10,BLACK,2M,170.93872,170.43939,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_02 (1).jpg,16.602362,27.90372,375.00073
8,S10,BLACK,2M,170.93872,170.43939,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_02.jpg,16.602362,27.90372,375.00073
9,S10,BLACK,2M,170.03378,169.48067,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_03 (1).jpg,16.537905,41.729187,375.08762
10,S10,BLACK,2M,170.03378,169.48067,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_03.jpg,16.537905,41.729187,375.08762
11,S10,BLACK,2M,171.54102,170.99635,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_04 (1).jpg,16.728155,32.98631,375.34412
12,S10,BLACK,2M,171.54102,170.99635,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_04.jpg,16.728155,32.98631,375.34412
13,S10,BLACK,2M,170.08694,169.71315,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_05 (1).jpg,16.758467,38.26571,374.96484
14,S10,BLACK,2M,170.08694,169.71315,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_05.jpg,16.758467,38.26571,374.96484
15,S10,BLACK,2M,172.25403,171.7451,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_06 (1).jpg,16.725027,22.348572,375.24536
16,S10,BLACK,2M,172.25403,171.7451,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_06.jpg,16.725027,22.348572,375.24536
17,S10,BLACK,2M,168.08301,167.43246,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_08 (1).jpg,17.061842,48.234184,375.34192
18,S10,BLACK,2M,168.08301,167.43246,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_08.jpg,17.061842,48.234184,375.34192
19,S10,BLACK,2M,172.45515,171.88213,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_09 (1).jpg,16.888308,56.73452,375.0516
20,S10,BLACK,2M,172.45515,171.88213,images2/S10/BLACK/2M/KakaoTalk_20220815_093057463_09.jpg,16.888308,56.73452,375.0516
21,S10,BLUE,1H,171.29764,171.07312,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_03.jpg,17.629297,27.153542,375.83496
22,S10,BLUE,1H,170.43732,170.2972,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_04.jpg,17.67113,23.271267,375.7452
23,S10,BLUE,1H,170.8487,170.55193,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_17.jpg,17.33437,46.98333,375.28607
24,S10,BLUE,1H,170.10773,169.85313,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_18.jpg,17.355143,57.72139,375.25314
25,S10,BLUE,1H,166.1603,166.11206,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_19.jpg,17.76183,12.742095,375.35358
26,S10,BLUE,1H,159.61835,159.17215,images2/S10/BLUE/1H/KakaoTalk_20220815_092958277_21.jpg,17.688015,11.603393,375.8174
27,S10,BLUE,1HM,158.6152,158.13469,images2/S10/BLUE/1HM/KakaoTalk_20220815_092958277_05.jpg,17.664335,-5.766612,376.41595
28,S10,BLUE,1HM,160.6471,160.03821,images2/S10/BLUE/1HM/KakaoTalk_20220815_092958277_06.jpg,17.724438,41.312996,376.3879
29,S10,BLUE,1HM,161.65662,161.04875,images2/S10/BLUE/1HM/KakaoTalk_20220815_092958277_07.jpg,17.750881,22.879877,376.37982
30,S10,BLUE,1HM,161.33209,160.76866,images2/S10/BLUE/1HM/KakaoTalk_20220815_092958277_08.jpg,17.713509,41.11801,376.33655
31,S10,BLUE,1HM,170.81253,170.61922,images2/S10/BLUE/1HM/KakaoTalk_20220815_092958277_15.jpg,17.343578,31.307549,375.29462
32,S10,BLUE,2M,172.15024,171.827,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_09.jpg,17.35824,48.498085,375.90552
33,S10,BLUE,2M,172.29706,172.00034,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_10.jpg,17.384592,42.664925,375.88852
34,S10,BLUE,2M,160.72066,160.37434,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_11.jpg,17.959543,19.527132,376.0926
35,S10,BLUE,2M,168.8887,168.43813,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_12.jpg,17.250034,36.232044,375.88916
36,S10,BLUE,2M,168.50807,167.89626,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_13.jpg,17.102726,40.76067,375.97336
37,S10,BLUE,2M,170.19518,169.66615,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_14.jpg,17.118946,45.59661,375.95428
38,S10,BLUE,2M,170.95819,170.34637,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_16.jpg,16.749725,22.778801,375.56042
39,S10,BLUE,2M,168.58179,168.40541,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_20.jpg,17.1998,42.6977,375.32678
40,S10,BLUE,2M,173.61978,172.87112,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_22.jpg,16.272158,61.30196,375.43716
41,S10,BLUE,2M,172.58557,171.89436,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_23.jpg,16.381653,46.034164,375.41522
42,S10,BLUE,2M,165.51733,165.20308,images2/S10/BLUE/2M/KakaoTalk_20220815_092958277_24.jpg,16.992743,43.030815,375.47287
43,S10,NOTE9,3L,143.28882,142.11922,images2/S10/NOTE9/3L/KakaoTalk_20220815_092958277_25.jpg,16.730114,2.5774922,376.07312
44,S10,NOTE9,3L,143.64722,142.49083,images2/S10/NOTE9/3L/KakaoTalk_20220815_092958277_26.jpg,16.631893,20.659004,376.14282
45,S10,NOTE9,3L,144.14005,142.98642,images2/S10/NOTE9/3L/KakaoTalk_20220815_092958277_27.jpg,16.58088,23.750107,376.14783
46,S10,NOTE9,3L,143.60101,142.37872,images2/S10/NOTE9/3L/KakaoTalk_20220815_092958277_28.jpg,16.523743,22.62365,376.19418
47,S10,NOTE9,3L,138.1934,137.1118,images2/S10/NOTE9/3L/KakaoTalk_20220815_092958277_29.jpg,17.574995,0.39292908,375.95752
48,S21,BLACK,1H,161.41652,160.95024,images2/S21/BLACK/1H/20220815_091304.jpg,16.421621,33.169174,376.1133
49,S21,BLACK,1H,164.32956,163.8762,images2/S21/BLACK/1H/20220815_091314.jpg,16.573095,18.521955,376.08823
50,S21,BLACK,1H,163.7362,163.18524,images2/S21/BLACK/1H/20220815_091318.jpg,16.249577,48.40139,376.0754
51,S21,BLACK,1H,166.63142,166.43303,images2/S21/BLACK/1H/20220815_091323.jpg,16.82312,33.0812,376.40704
52,S21,BLACK,1HM,164.23253,163.76758,images2/S21/BLACK/1HM/20220815_091312.jpg,16.482779,9.271801,376.04425
53,S21,BLACK,1HM,144.77692,143.61942,images2/S21/BLACK/1HM/20220815_091317.jpg,15.960192,17.6033,376.75378
54,S21,BLACK,1HM,166.13007,165.8238,images2/S21/BLACK/1HM/20220815_091322.jpg,16.724466,48.970356,375.93262
55,S21,BLACK,1HM,163.84122,163.7067,images2/S21/BLACK/1HM/20220815_091328.jpg,16.968115,20.531746,376.10486
56,S21,BLACK,2M,154.74847,154.11653,images2/S21/BLACK/2M/20220815_091307.jpg,16.285957,27.528265,376.39178
57,S21,BLACK,2M,159.64362,159.1445,images2/S21/BLACK/2M/20220815_091319(0).jpg,16.459854,41.96894,376.1691
58,S21,BLACK,2M,167.1452,166.68788,images2/S21/BLACK/2M/20220815_091319.jpg,16.353321,46.551777,376.4626
59,S21,BLACK,2M,164.93152,164.26538,images2/S21/BLACK/2M/20220815_091321.jpg,15.860087,40.915993,375.83313
60,S21,BLACK,3L,138.50856,136.6155,images2/S21/BLACK/3L/20220815_083819.jpg,13.571886,4.2688656,376.00354
61,S21,BLACK,3L,146.53143,144.6022,images2/S21/BLACK/3L/20220815_083828.jpg,13.239838,20.027277,374.69513
62,S21,NOTE9,2M,161.61237,161.00145,images2/S21/NOTE9/2M/20220815_091406.jpg,17.16951,48.55711,376.4641
63,S21,NOTE9,2M,161.09497,160.09065,images2/S21/NOTE9/2M/20220815_091407.jpg,15.128631,49.31313,376.79
64,S21,NOTE9,2M,162.48976,161.49005,images2/S21/NOTE9/2M/20220815_091414.jpg,15.232243,40.5366,376.8578
65,S21,NOTE9,2M,159.53935,158.43538,images2/S21/NOTE9/2M/20220815_091416.jpg,14.910578,31.627945,376.89594
66,S21,NOTE9,2M,162.95938,161.81516,images2/S21/NOTE9/2M/20220815_091420(0).jpg,14.890529,43.007713,376.908
67,S21,NOTE9,2M,158.67276,157.4146,images2/S21/NOTE9/2M/20220815_091420.jpg,14.676361,-24.815563,376.93027
68,S21,NOTE9,2ML,155.58533,154.59836,images2/S21/NOTE9/2ML/20220815_091349(0).jpg,15.649161,10.317279,376.81992
69,S21,NOTE9,2ML,160.8179,159.96013,images2/S21/NOTE9/2ML/20220815_091349.jpg,15.893756,11.653117,376.78104
70,S21,NOTE9,2ML,160.66077,159.83923,images2/S21/NOTE9/2ML/20220815_091350.jpg,15.595327,5.8502607,376.81622
71,S21,NOTE9,2ML,158.05884,157.09251,images2/S21/NOTE9/2ML/20220815_091351.jpg,15.113082,9.381137,376.85028
72,S21,NOTE9,2ML,158.92056,158.07658,images2/S21/NOTE9/2ML/20220815_091357.jpg,15.530411,37.970203,376.725
73,S21,NOTE9,2ML,153.03041,151.60207,images2/S21/NOTE9/2ML/20220815_091358.jpg,14.263842,17.025785,376.85867
74,S21,NOTE9,2ML,160.63875,159.85782,images2/S21/NOTE9/2ML/20220815_091359.jpg,15.461269,40.392975,376.82294
75,S21,NOTE9,2ML,162.16187,160.91637,images2/S21/NOTE9/2ML/20220815_091400.jpg,14.928279,3.010268,376.79486
76,S21,NOTE9,2ML,160.79901,160.65103,images2/S21/NOTE9/2ML/20220815_091401(0).jpg,17.089449,30.051151,376.54846
77,S21,NOTE9,2ML,156.58075,156.19193,images2/S21/NOTE9/2ML/20220815_091401.jpg,16.685066,30.337257,376.54858
78,S21,NOTE9,2ML,159.25769,158.78793,images2/S21/NOTE9/2ML/20220815_091404.jpg,16.856016,17.874832,376.5674
79,S21,NOTE9,2ML,156.81525,155.78209,images2/S21/NOTE9/2ML/20220815_091405.jpg,16.37603,17.028646,376.59717
80,S21,NOTE9,2ML,160.0177,158.73822,images2/S21/NOTE9/2ML/20220815_091409.jpg,14.697482,28.527473,376.84265
81,S21,NOTE9,2ML,159.86029,158.90709,images2/S21/NOTE9/2ML/20220815_091411.jpg,15.145483,14.2895975,376.90527
82,S21,NOTE9,2ML,161.1369,160.12285,images2/S21/NOTE9/2ML/20220815_091416(0).jpg,14.95383,45.000565,376.9253
83,S21,NOTE9,2ML,153.88864,152.40546,images2/S21/NOTE9/2ML/20220815_091417.jpg,14.110628,19.908161,376.9624
84,S21,NOTE9,2ML,156.32233,155.6765,images2/S21/NOTE9/2ML/20220815_091424.jpg,16.102728,22.784695,375.07343
85,S21,NOTE9,2ML,157.93607,157.32782,images2/S21/NOTE9/2ML/20220815_091425.jpg,16.213501,24.130247,375.05765
86,S21,NOTE9,2ML,152.1604,151.15968,images2/S21/NOTE9/2ML/20220815_091427.jpg,15.43602,17.966362,375.05734
87,S21,NOTE9,3L,154.2711,153.2835,images2/S21/NOTE9/3L/20220815_091346.jpg,15.339816,11.896825,376.86893
88,S21,NOTE9,3L,158.9097,157.88803,images2/S21/NOTE9/3L/20220815_091348.jpg,14.968035,5.892818,376.89478
89,S21,NOTE9,3L,149.94453,149.15894,images2/S21/NOTE9/3L/20220815_091352.jpg,15.799048,13.619371,376.7425
90,S21,NOTE9,3L,145.66118,144.59799,images2/S21/NOTE9/3L/20220815_091423.jpg,15.450784,6.253445,375.16486
91,S7,BLACK,1H,158.8671,158.74333,images2/S7/BLACK/1H/KakaoTalk_20220815_092740787_13.jpg,18.591818,11.387614,376.339
92,S7,BLACK,1H,154.56964,154.50917,images2/S7/BLACK/1H/KakaoTalk_20220815_092740787_17.jpg,19.474382,25.02672,376.59283
93,S7,BLACK,1H,165.81885,165.66081,images2/S7/BLACK/1H/KakaoTalk_20220815_092740787_19.jpg,17.395908,27.764164,376.47153
94,S7,BLACK,1HM,166.79984,166.7127,images2/S7/BLACK/1HM/KakaoTalk_20220815_092740787_06.jpg,17.77897,32.311596,376.2311
95,S7,BLACK,1HM,162.6943,162.3664,images2/S7/BLACK/1HM/KakaoTalk_20220815_092740787_15.jpg,18.138891,40.248608,376.68262
96,S7,BLACK,1HM,153.6984,153.72127,images2/S7/BLACK/1HM/KakaoTalk_20220815_092740787_20.jpg,19.656658,20.43924,376.61777
97,S7,BLACK,1HM,152.03117,151.94057,images2/S7/BLACK/1HM/KakaoTalk_20220815_092740787_22.jpg,19.748318,17.392675,376.5821
98,S7,BLACK,1HM,159.09575,158.87604,images2/S7/BLACK/1HM/KakaoTalk_20220815_092740787_23.jpg,17.89309,40.78312,376.66418
99,S7,BLACK,2M,148.46748,148.39273,images2/S7/BLACK/2M/KakaoTalk_20220815_092523588_08.jpg,19.056871,6.9816275,377.1833
100,S7,BLACK,2M,155.9036,155.89328,images2/S7/BLACK/2M/KakaoTalk_20220815_092523588_09.jpg,19.919096,23.74344,376.9809
101,S7,BLACK,2M,153.69319,153.741,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787.jpg,19.836267,21.476418,376.4303
102,S7,BLACK,2M,164.00684,163.84372,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_01.jpg,18.025341,48.04619,376.34537
103,S7,BLACK,2M,162.64885,162.44048,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_02.jpg,18.294611,33.022305,376.2903
104,S7,BLACK,2M,157.11737,156.79588,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_03.jpg,19.446348,19.6709,376.45523
105,S7,BLACK,2M,152.76193,152.72299,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_04.jpg,20.006039,12.464457,376.78604
106,S7,BLACK,2M,167.24652,167.01505,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_07.jpg,17.649261,41.20203,376.28558
107,S7,BLACK,2M,150.63179,150.68343,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_08.jpg,20.063028,0.33093277,376.81577
108,S7,BLACK,2M,155.5594,155.4682,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_09.jpg,19.854801,20.065487,376.19
109,S7,BLACK,2M,150.85355,150.98442,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_11.jpg,20.187172,26.094978,376.52542
110,S7,BLACK,2M,155.65948,155.47356,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_12.jpg,19.176441,27.186014,376.57425
111,S7,BLACK,2M,146.97598,147.35728,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_14.jpg,19.560768,32.150406,376.68533
112,S7,BLACK,2M,156.09494,155.87033,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_16.jpg,19.345224,21.984295,376.66
113,S7,BLACK,2M,140.3667,140.62141,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_18.jpg,19.460346,15.334135,377.0795
114,S7,BLACK,2M,156.16443,156.02327,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_21.jpg,19.514774,23.71877,377.11224
115,S7,BLACK,2M,164.74481,164.51888,images2/S7/BLACK/2M/KakaoTalk_20220815_092740787_24.jpg,17.552214,33.624596,376.45093
116,S7,BLACK,2M,156.08492,156.02827,images2/S7/BLACK/2M/KakaoTalk_20220815_092745052.jpg,20.012444,17.36818,376.47092
117,S7,BLACK,2M,158.99901,158.89189,images2/S7/BLACK/2M/KakaoTalk_20220815_092745052_01.jpg,18.95572,8.0741825,376.33008
118,S7,BLACK,3L,140.54393,139.74652,images2/S7/BLACK/3L/KakaoTalk_20220815_092740787_05.jpg,17.10694,3.7323143,377.0038
119,S7,BLACK,3L,143.32652,142.65024,images2/S7/BLACK/3L/KakaoTalk_20220815_092740787_10.jpg,17.465136,22.382372,376.78265
