,camera,display,moire_degree,median,mean,path,std,min,max
0,S10,BLACK,H,188.52774,189.81732,images/S10/BLACK/H/KakaoTalk_20220815_093057463_07 (1).jpg,21.479652,32.28102,417.85312
1,S10,BLACK,H,188.52774,189.81732,images/S10/BLACK/H/KakaoTalk_20220815_093057463_07.jpg,21.479652,32.28102,417.85312
2,S10,BLACK,H,179.68674,181.07947,images/S10/BLACK/H/KakaoTalk_20220815_093057463_10 (1).jpg,21.855032,16.697376,418.96216
3,S10,BLACK,H,179.68674,181.07947,images/S10/BLACK/H/KakaoTalk_20220815_093057463_10.jpg,21.855032,16.697376,418.96216
4,S10,BLACK,H,179.93707,181.50313,images/S10/BLACK/H/KakaoTalk_20220815_093057463_11 (1).jpg,21.885094,29.047766,418.84128
5,S10,BLACK,H,179.93707,181.50313,images/S10/BLACK/H/KakaoTalk_20220815_093057463_11.jpg,21.885094,29.047766,418.84128
6,S10,BLACK,M,187.81631,188.8007,images/S10/BLACK/M/KakaoTalk_20220815_093057463_01.jpg,20.224255,23.093376,417.88647
7,S10,BLACK,M,187.80444,188.8288,images/S10/BLACK/M/KakaoTalk_20220815_093057463_02 (1).jpg,20.183876,28.995476,418.04
8,S10,BLACK,M,187.80444,188.8288,images/S10/BLACK/M/KakaoTalk_20220815_093057463_02.jpg,20.183876,28.995476,418.04
9,S10,BLACK,M,185.82564,186.7947,images/S10/BLACK/M/KakaoTalk_20220815_093057463_03 (1).jpg,20.236593,28.50584,418.3114
10,S10,BLACK,M,185.82564,186.7947,images/S10/BLACK/M/KakaoTalk_20220815_093057463_03.jpg,20.236593,28.50584,418.3114
11,S10,BLACK,M,189.9487,190.54225,images/S10/BLACK/M/KakaoTalk_20220815_093057463_04 (1).jpg,19.826988,18.670025,418.1162
12,S10,BLACK,M,189.9487,190.54225,images/S10/BLACK/M/KakaoTalk_20220815_093057463_04.jpg,19.826988,18.670025,418.1162
13,S10,BLACK,M,187.34868,188.44669,images/S10/BLACK/M/KakaoTalk_20220815_093057463_05 (1).jpg,20.19468,35.98394,417.81845
14,S10,BLACK,M,187.34868,188.44669,images/S10/BLACK/M/KakaoTalk_20220815_093057463_05.jpg,20.19468,35.98394,417.81845
15,S10,BLACK,M,188.75023,189.57268,images/S10/BLACK/M/KakaoTalk_20220815_093057463_06 (1).jpg,19.992702,16.529043,418.00275
16,S10,BLACK,M,188.75023,189.57268,images/S10/BLACK/M/KakaoTalk_20220815_093057463_06.jpg,19.992702,16.529043,418.00275
17,S10,BLACK,M,190.37459,190.93271,images/S10/BLACK/M/KakaoTalk_20220815_093057463_08 (1).jpg,20.418385,44.92115,418.59665
18,S10,BLACK,M,190.37459,190.93271,images/S10/BLACK/M/KakaoTalk_20220815_093057463_08.jpg,20.418385,44.92115,418.59665
19,S10,BLACK,M,190.6262,191.31097,images/S10/BLACK/M/KakaoTalk_20220815_093057463_09 (1).jpg,20.379793,36.218582,418.13538
20,S10,BLACK,M,190.6262,191.31097,images/S10/BLACK/M/KakaoTalk_20220815_093057463_09.jpg,20.379793,36.218582,418.13538
21,S10,BLUE,H,190.70782,190.94708,images/S10/BLUE/H/KakaoTalk_20220815_092958277_01.jpg,19.920965,39.558113,417.76517
22,S10,BLUE,H,188.32117,188.9086,images/S10/BLUE/H/KakaoTalk_20220815_092958277_02.jpg,20.480112,42.12345,416.3481
23,S10,BLUE,H,196.58105,196.94786,images/S10/BLUE/H/KakaoTalk_20220815_092958277_03.jpg,20.228563,7.9338274,420.54755
24,S10,BLUE,H,195.34515,195.9407,images/S10/BLUE/H/KakaoTalk_20220815_092958277_04.jpg,20.353594,42.50671,420.065
25,S10,BLUE,H,193.51598,193.79561,images/S10/BLUE/H/KakaoTalk_20220815_092958277_17.jpg,20.064764,40.31206,419.7102
26,S10,BLUE,H,193.28207,193.6321,images/S10/BLUE/H/KakaoTalk_20220815_092958277_18.jpg,20.089193,48.311447,419.5297
27,S10,BLUE,H,193.12285,193.64568,images/S10/BLUE/H/KakaoTalk_20220815_092958277_19.jpg,20.57282,0.33936858,419.58337
28,S10,BLUE,H,189.04459,189.4264,images/S10/BLUE/H/KakaoTalk_20220815_092958277_21.jpg,20.719427,43.198868,419.81097
29,S10,BLUE,M,181.49763,182.0733,images/S10/BLUE/M/KakaoTalk_20220815_092958277.jpg,20.360353,29.596254,418.63083
30,S10,BLUE,M,186.3826,186.47372,images/S10/BLUE/M/KakaoTalk_20220815_092958277_05.jpg,20.648466,38.20722,421.17004
